label,all_image_count,training_image_count
C20H32O6|+Cl,1,1
C20H34O2|-H,3,3
C20H36O2|-H,2,2
C20H38O2|-H,3,3
C20H38O3|-H,1,1
C20H38O7S|-H,4,4
C20H39NO2S|-H,1,1
C20H40NO9P|-H,1,1
C20H40O13P2|+Cl,1,1
C20H40O2|+Cl,3,3
C20H40O2|-H,1,1
C20H8Br4O5|-H,1,1
C21H20O3|+Cl,6,6
C21H22N4O3|-H,1,1
C21H26O2|-H,1,1
C21H26O3|-H,1,1
C21H26O3|[M]-,1,1
C21H27NO3|[M]-,2,1
C21H28N2O2|-H,1,1
C21H28O2|-H,2,2
C21H35O7P|+Cl,3,3
C21H36O9|-H,1,1
C21H37O7P|+Cl,1,1
C21H38O4|+Cl,3,3
C21H38O4|-H,1,1
C21H38O6|-H,1,1
C21H39O7P|-H,1,1
C21H40O4|+Cl,2,2
C21H40O4|-H,1,1
C21H40O5|-H,1,1
C21H41O6P|-H,1,1
C21H42O2|-H,1,1
C21H43O7P|-H,1,1
C22H22O7|-H,1,1
C22H27NO2|[M]-,1,1
C22H27NO3|[M]-,1,1
C22H27NO|[M]-,1,1
C22H28N4O3|-H,1,1
C22H28NO3|-H,1,1
C22H28O3|-H,1,1
C22H30N4O2S2|+Cl,1,1
C22H30N4O|-H,1,1
C22H30O2|-H,1,1
C22H30O7|-H,1,1
C22H30O8|-H,1,1
C22H31O2|[M]-,1,1
C22H32O2|+Cl,1,1
C22H32O2|-H,4,4
C22H32O3|-H,2,2
C22H32O4|-H,2,2
C22H32O6|-H,1,1
C22H34O2|-H,3,3
C22H36O2|+Cl,2,2
C22H36O2|-H,3,3
C22H42O4|+Cl,1,1
C22H42O4|-H,1,1
C22H42O6|-H,1,1
C22H44O2|-H,1,1
C23H20N2O2S|-H,1,1
C23H25ClN2O9|-H,1,1
C23H26N4O3|-H,1,1
C23H27N3O7|+Cl,1,1
C23H28N4|-H,1,1
C23H30O12|-H,2,2
C23H32N6|-H,1,1
C23H34O4|-H,1,1
C23H35NO7S|+Cl,6,6
C23H35NO7S|-H,7,7
C23H38O4|+Cl,2,2
C23H38O5|-H,1,1
C23H44O4|-H,2,2
C23H46O2|-H,1,1
C23H48NO7P|-H,3,3
C24H28O5|-H,1,1
C24H30O5|-H,1,1
C24H30|-H,1,1
C24H31NO3|[M]-,1,1
C24H31NO4|-H,3,3
C24H31NO4|[M]-,1,1
C24H32O4S|-H,1,1
C24H34O2|-H,1,1
C24H34O4S|-H,2,2
C24H34O9|-H,1,1
C24H40O6|-H,1,1
C24H44O6|-H,1,1
C24H44O7|-H,2,2
C24H46O13P2|+Cl,1,1
C24H46O4|-H,1,1
C24H47NO10S|-H,1,1
C24H48O2|+Cl,3,3
C24H48O2|-H,1,1
C24H48O4|-H,1,1
C25H28N2O7S|-H,1,1
C25H30NO3|-H,1,1
C25H32O2|-H,1,1
C25H38O4|+Cl,1,1
C25H38O5|-H,2,2
C25H38O6|-H,2,2
C25H38O|-H,1,1
C25H44NO7P|-H,5,5
C25H48O4|-H,2,2
C25H50O2|-H,1,1
C25H50O4|-H,1,1
C26H26O9|-H,1,1
C26H31N3O9S|-H,1,1
C26H35NO4|[M]-,1,1
C26H36N2O4|-H,1,1
C26H38N4O4|-H,1,1
C26H40O6|-H,1,1
C26H43NO6|+Cl,3,3
C26H44NO8P|-H,3,3
C26H45NO7S|-H,4,4
C26H46NO7P|-H,1,1
C26H50O4|-H,1,1
C26H52O2|-H,1,1
C27H30Cl2O6|-H,1,1
C27H32N6|-H,1,1
C27H35N5O7S|+Cl,1,1
C27H36O2|-H,1,1
C27H44NO7P|-H,5,5
C27H44O3|-H,1,1
C27H46O4S|-H,2,2
C27H47O13P|+Cl,1,1
C27H48NO7P|-H,2,2
C27H48O13P2|+Cl,2,2
C27H52O4|-H,1,1
C27H53O12P|-H,2,2
C27H55O11P|+Cl,3,3
C28H39NO5|[M]-,1,1
C28H41N3O3|-H,1,1
C28H42N4O6|-H,1,1
C28H45O10P|+Cl,2,2
C28H47O10P|+Cl,1,1
C28H48N9O16P|+Cl,1,1
C28H48NO10P|+Cl,2,2
C28H54O4|-H,1,1
C28H55O9P|+Cl,1,1
C28H56O4|-H,1,1
C28H58O|+Cl,1,1
C29H34N2O2|-H,1,1
C29H35N3O8S|+Cl,1,1
C29H38N8O2|-H,1,1
C29H41NO7|-H,1,1
C29H48O13P2|+Cl,1,1
C29H49O12P|-H,1,1
C29H56O5|+Cl,1,1
C30H26O6|+Cl,1,1
C30H35N7O2|-H,1,1
C30H39N3O7|-H,3,3
C30H51O13P|+Cl,1,1
C30H59N2O6P|+Cl,1,1
C30H61O9P|+Cl,1,1
C31H52NO7P|+Cl,1,1
C31H54NO7P|+Cl,1,1
C31H55O12P|+Cl,1,1
C32H36N4O5|[M]-,1,1
C32H38ClN3O2|-H,1,1
C32H42O13|+Cl,1,1
C32H42O14|+Cl,1,1
C32H44O11|+Cl,2,2
C32H44O12|+Cl,1,1
C32H44O14|+Cl,1,1
C32H60NO10P|+Cl,1,1
C32H60O4|-H,2,2
C32H62O4|-H,2,2
C32H63N2O6P|+Cl,1,1
C32H64O4|-H,1,1
C33H25N3O3|+Cl,1,1
C33H34N4O6|+Cl,1,1
C33H42N4O6|+Cl,1,1
C34H32ClFeN4O4|-H,1,1
C34H32FeN4O4|+Cl,2,2
C34H32FeN4O4|-H,1,1
C34H56O16P2|+Cl,1,1
C34H64O4|-H,2,2
