variant,order,method,source_id,kind,sphere_a,sphere_b
m0-reconstruction,0,permutation_label_invariant,406,view,0.9380151972633491,-0.34659412820040686
m0-reconstruction,0,permutation_label_invariant,539,view,0.96996703448284,-0.24323641178196398
m0-reconstruction,0,permutation_label_invariant,436,view,0.9947082781607081,-0.10273967762534245
m0-reconstruction,0,permutation_label_invariant,453,view,0.8868416029976034,-0.4620735560412878
m0-reconstruction,0,permutation_label_invariant,406,view,0.9362195766232776,-0.3514155721468968
m0-reconstruction,0,permutation_label_invariant,539,view,0.9692784536786698,-0.24596601235594853
m0-reconstruction,0,permutation_label_invariant,436,view,0.9941599872595408,-0.1079162625933165
m0-reconstruction,0,permutation_label_invariant,453,view,0.9098922918715212,-0.4148445699208206
m0-reconstruction,0,permutation_label_invariant,406,view,0.9373064824589772,-0.34850618063440314
m0-reconstruction,0,permutation_label_invariant,539,view,0.9720798991202515,-0.23465010063147612
m0-reconstruction,0,permutation_label_invariant,436,view,0.9918894958636147,-0.12710321787989626
m0-reconstruction,0,permutation_label_invariant,453,view,0.9534434893689835,-0.301571737037636
m0-reconstruction,0,permutation_label_invariant,406,view,0.9405609190429187,-0.33962502494536534
m0-reconstruction,0,permutation_label_invariant,539,view,0.9690878854891767,-0.24671576803705972
m0-reconstruction,0,permutation_label_invariant,436,view,0.9922683926443528,-0.12411058358976686
m0-reconstruction,0,permutation_label_invariant,453,view,0.8894124818985719,-0.45710549881074786
m0-reconstruction,0,permutation_label_invariant,406,view,0.9390505800485741,-0.34377901057283383
m0-reconstruction,0,permutation_label_invariant,539,view,0.9686541775748911,-0.24841313223481415
m0-reconstruction,0,permutation_label_invariant,436,view,0.9908736879033347,-0.13479367426123806
m0-reconstruction,0,permutation_label_invariant,453,view,0.9155964298796445,-0.40209846753208267
m0-reconstruction,0,permutation_label_invariant,406,view,0.94009512555353,-0.3409122393087297
m0-reconstruction,0,permutation_label_invariant,539,view,0.9701259697834895,-0.24260173690978415
m0-reconstruction,0,permutation_label_invariant,436,view,0.9913297327168425,-0.1313977208004526
m0-reconstruction,0,permutation_label_invariant,453,view,0.8932937720620655,-0.4494732881886606
m0-reconstruction,0,permutation_label_invariant,406,view,0.9416586377687576,-0.3365694726434468
m0-reconstruction,0,permutation_label_invariant,539,view,0.9704485324244732,-0.24130819694984698
m0-reconstruction,0,permutation_label_invariant,436,view,0.9923105834008195,-0.12377280020555897
m0-reconstruction,0,permutation_label_invariant,453,view,0.8920716058026839,-0.4518940695789456
m0-reconstruction,0,permutation_label_invariant,406,view,0.9367571262232152,-0.349980122964181
m0-reconstruction,0,permutation_label_invariant,539,view,0.9673482655898855,-0.253450849397354
m0-reconstruction,0,permutation_label_invariant,436,view,0.9904025826546736,-0.13821260532582566
m0-reconstruction,0,permutation_label_invariant,453,view,0.8843628884594921,-0.4668000444682757
m0-reconstruction,0,permutation_label_invariant,406,view,0.9416245904449977,-0.33666471550979377
m0-reconstruction,0,permutation_label_invariant,539,view,0.9698474020700999,-0.24371298015878784
m0-reconstruction,0,permutation_label_invariant,436,view,0.9926702670763776,-0.12085421325925304
m0-reconstruction,0,permutation_label_invariant,453,view,0.8906771480608553,-0.45463635789736534
m0-reconstruction,0,permutation_label_invariant,406,view,0.9079882271105577,-0.41899567948682526
m0-reconstruction,0,permutation_label_invariant,539,view,0.9681657769759912,-0.2503098645528685
m0-reconstruction,0,permutation_label_invariant,436,view,0.99318282878019,-0.11656701341365662
m0-reconstruction,0,permutation_label_invariant,453,view,0.887294421687472,-0.4612034358526556
m0-reconstruction,0,permutation_label_invariant,406,view,0.9327297306534671,-0.36057627425429817
m0-reconstruction,0,permutation_label_invariant,539,view,0.9701219961028859,-0.24261762647703958
m0-reconstruction,0,permutation_label_invariant,436,view,0.9909349879675753,-0.13434228530772213
m0-reconstruction,0,permutation_label_invariant,453,view,0.8695661813995386,-0.49381641949840505
m0-reconstruction,0,permutation_label_invariant,406,view,0.8750949694644622,-0.48395123144588853
m0-reconstruction,0,permutation_label_invariant,539,view,0.9685496033223605,-0.24882054960171235
m0-reconstruction,0,permutation_label_invariant,436,view,0.9882735273793957,-0.15269392614340208
m0-reconstruction,0,permutation_label_invariant,453,view,0.8876865385495222,-0.46044826992613164
m0-reconstruction,0,permutation_label_invariant,406,view,0.9387138417205931,-0.34469743741746206
m0-reconstruction,0,permutation_label_invariant,539,view,0.9681861807447935,-0.25023093217028536
m0-reconstruction,0,permutation_label_invariant,436,view,0.9925640874400014,-0.1217231790761208
m0-reconstruction,0,permutation_label_invariant,453,view,0.8887301777970108,-0.45843066113960296
m0-reconstruction,0,permutation_label_invariant,406,view,0.9416417005133207,-0.3366168561649602
m0-reconstruction,0,permutation_label_invariant,539,view,0.9706670898904101,-0.24042753711603568
m0-reconstruction,0,permutation_label_invariant,436,view,0.9911865062596226,-0.1324738080106521
m0-reconstruction,0,permutation_label_invariant,453,view,0.8879770164025292,-0.4598878323470435
m0-reconstruction,0,permutation_label_invariant,406,view,0.9342591857289161,-0.35659469132495897
m0-reconstruction,0,permutation_label_invariant,539,view,0.9625903426164449,-0.27096094239125146
m0-reconstruction,0,permutation_label_invariant,436,view,0.9918437457769483,-0.1274597346739444
m0-reconstruction,0,permutation_label_invariant,453,view,0.8915142778935379,-0.4529925963103193
m0-reconstruction,0,permutation_label_invariant,406,view,0.9373504656501778,-0.34838786509491826
m0-reconstruction,0,permutation_label_invariant,539,view,0.9704745902764,-0.24120337814353604
m0-reconstruction,0,permutation_label_invariant,436,view,0.995891111564602,-0.09055878702048471
m0-reconstruction,0,permutation_label_invariant,453,view,0.8877599024626655,-0.46030680592348266
m0-reconstruction,0,permutation_label_invariant,406,view,0.9389861242913096,-0.343955023787101
m0-reconstruction,0,permutation_label_invariant,539,view,0.9720491337273387,-0.23477751514983403
m0-reconstruction,0,permutation_label_invariant,436,view,0.9934442151444173,-0.11431793995735212
m0-reconstruction,0,permutation_label_invariant,453,view,0.8915656879598747,-0.4528914042600451
m0-reconstruction,0,permutation_label_invariant,406,view,0.938023903257972,-0.3465705655659158
m0-reconstruction,0,permutation_label_invariant,539,view,0.9699348689157659,-0.24336464423033186
m0-reconstruction,0,permutation_label_invariant,436,view,0.9825226111128783,-0.18614327452779927
m0-reconstruction,0,permutation_label_invariant,453,view,0.885707487837521,-0.46424373554044607
m0-reconstruction,0,permutation_label_invariant,406,view,0.9345889293943492,-0.3557295785474188
m0-reconstruction,0,permutation_label_invariant,539,view,0.9697270006462003,-0.24419161373340495
m0-reconstruction,0,permutation_label_invariant,436,view,0.9842462423338746,-0.1768030951415947
m0-reconstruction,0,permutation_label_invariant,453,view,0.8889865980667102,-0.45793321397096476
m0-reconstruction,0,permutation_label_invariant,406,view,0.9400874002715437,-0.34093354169205825
m0-reconstruction,0,permutation_label_invariant,539,view,0.9691870384024742,-0.24632597222510008
m0-reconstruction,0,permutation_label_invariant,436,view,0.9925482102999836,0.12185257580494335
m0-reconstruction,0,permutation_label_invariant,453,view,0.8567306675378181,-0.5157640577824364
m0-reconstruction,0,permutation_label_invariant,406,view,0.9187500664148383,-0.3948396072618984
m0-reconstruction,0,permutation_label_invariant,539,view,0.9754912109729682,-0.22003839963627278
m0-reconstruction,0,permutation_label_invariant,436,view,0.9961138467489635,-0.08807499256305554
m0-reconstruction,0,permutation_label_invariant,453,view,0.8800895560005698,-0.4748077225769607
m0-reconstruction,0,permutation_label_invariant,406,view,0.9474862951452875,-0.3197963735126733
m0-reconstruction,0,permutation_label_invariant,539,view,0.9694715636935937,-0.24520376667069843
m0-reconstruction,0,permutation_label_invariant,436,view,0.992547014489852,-0.12186231586212903
m0-reconstruction,0,permutation_label_invariant,453,view,0.8879642884650226,-0.459912407324271
m0-reconstruction,0,permutation_label_invariant,406,view,0.940630447172811,-0.33943241131553376
m0-reconstruction,0,permutation_label_invariant,539,view,0.9691598420270826,-0.24643295356352074
m1-head,1,permutation_label_invariant,436,original,0.9919435042644389,-0.12668103389057364
m1-head,1,permutation_label_invariant,453,original,0.8845988434622052,-0.4663527486198928
m1-head,1,permutation_label_invariant,406,original,0.9353511454360326,-0.35372056023293547
m1-head,1,permutation_label_invariant,539,original,0.9692186798638527,-0.24620144313746548
m1-head,1,permutation_label_invariant,436,view,0.9918664595502878,-0.12728285987978577
m1-head,1,permutation_label_invariant,453,view,0.8844099732293116,-0.46671083044271433
m1-head,1,permutation_label_invariant,406,view,0.9354078418538894,-0.3535706003024701
m1-head,1,permutation_label_invariant,539,view,0.9700408781635417,-0.2429417516436909
m1-head,1,permutation_label_invariant,436,view,0.9939274351175434,-0.11003751051646474
m1-head,1,permutation_label_invariant,453,view,0.8608291525841034,-0.5088940656574157
m1-head,1,permutation_label_invariant,406,view,0.9363219415491213,-0.3511427370367834
m1-head,1,permutation_label_invariant,539,view,0.9693528723640754,-0.24567256427919693
m1-head,1,permutation_label_invariant,436,view,0.9917391546023023,-0.1282709991724959
m1-head,1,permutation_label_invariant,453,view,0.8858713187150359,-0.4639310365540153
m1-head,1,permutation_label_invariant,406,view,0.9237595960682708,-0.382972856312017
m1-head,1,permutation_label_invariant,539,view,0.9680633508595148,-0.25070570141631804
m1-head,1,permutation_label_invariant,436,view,0.991989210526801,-0.12632262742048214
m1-head,1,permutation_label_invariant,453,view,0.8846275395711141,-0.4662983124914317
m1-head,1,permutation_label_invariant,406,view,0.9573283456668519,-0.2890024888868058
m1-head,1,permutation_label_invariant,539,view,0.9556694814943646,-0.2944415767861127
m1-head,1,permutation_label_invariant,436,view,0.9911145486880252,-0.13301109494674432
m1-head,1,permutation_label_invariant,453,view,0.8932374377007805,-0.44958523095153385
m1-head,1,permutation_label_invariant,406,view,0.9548638936598544,-0.29704367454086966
m1-head,1,permutation_label_invariant,539,view,0.9693156079796968,-0.24581955196230884
m1-head,1,permutation_label_invariant,436,view,0.9897086915836504,-0.14309684064918646
m1-head,1,permutation_label_invariant,453,view,0.889425097531614,-0.45708095112450114
m1-head,1,permutation_label_invariant,406,view,0.9346994672458039,-0.35543903264893445
m1-head,1,permutation_label_invariant,539,view,0.9683997043395842,-0.24940331319973572
m1-head,1,permutation_label_invariant,436,view,0.9910652035642825,-0.13337826766039138
m1-head,1,permutation_label_invariant,453,view,0.8849283875627573,-0.46572711847773923
