pair,class_index,delta_ap_mean,delta_ap_std,prior,n_repetitions
with regularizers,48.0,0.25755911589976804,0.23119396317268298,1e-04,5
with regularizers,52.0,0.1638180113341632,0.22455841153585082,1e-04,5
with regularizers,57.0,-0.002372726699444855,0.020178929006550904,0.016540995,5
with regularizers,63.0,0.18971469559549567,0.24275001934486085,1e-04,5
with regularizers,76.0,0.2295940183334173,0.31022494002167217,1e-04,5
with regularizers,78.0,0.11079474622754334,0.1434133960889424,1e-04,5
with regularizers,80.0,0.2776154316883337,0.2794585719733254,1e-04,5
with regularizers,82.0,0.005944234529208714,0.005908574768969077,0.36680773,5
with regularizers,89.0,0.00031626973660811,0.0007818829746830277,1e-04,5
with regularizers,94.0,0.16263312096051422,0.11891933377320328,1e-04,5
with regularizers,100.0,0.25146984314093335,0.18623956072101555,1e-04,5
with regularizers,103.0,0.340974761192867,0.34353371133274907,1e-04,5
with regularizers,105.0,-0.03831060325940662,0.051598766768619936,0.03522785,5
with regularizers,106.0,0.04508687051613004,0.060555998659677646,0.0060799327,5
with regularizers,108.0,0.005751006073188849,0.009564169962553682,1e-04,5
with regularizers,116.0,0.00880419067760127,0.05728458677229257,1e-04,5
with regularizers,117.0,0.18935963803998784,0.2154612925408691,1e-04,5
with regularizers,118.0,0.17014038530104178,0.159177323262504,1e-04,5
with regularizers,120.0,0.061762575089428104,0.10190722818479661,1e-04,5
with regularizers,123.0,0.1803855852473934,0.23122438100962367,1e-04,5
with regularizers,124.0,0.24332684765466714,0.13499626065634307,0.38741693,5
with regularizers,125.0,0.125049188188189,0.23910996006979338,1e-04,5
with regularizers,126.0,-0.42458098239825215,0.1801752876262135,0.00089410786,5
with regularizers,129.0,0.2050108692918191,0.265585470234865,1e-04,5
with regularizers,130.0,-0.014400534268856591,0.11309212580814042,0.41580486,5
with regularizers,132.0,0.262091385461601,0.22262474575480523,1e-04,5
with regularizers,135.0,0.1536554247957591,0.20566248230240664,0.42067775,5
with regularizers,139.0,0.006084026519078011,0.009101129895361071,1e-04,5
with regularizers,141.0,0.017426557909269367,0.010759252733211287,1e-04,5
with regularizers,142.0,-0.11993483943335433,0.08860247721128413,0.46860188,5
with regularizers,149.0,0.26976312028456945,0.19721401251854734,1e-04,5
with regularizers,150.0,0.15516223683907437,0.17831385975723363,1e-04,5
with regularizers,152.0,-0.0049596736924772565,0.08716333761081707,1e-04,5
with regularizers,155.0,0.07960967986447917,0.14851291073014738,1e-04,5
with regularizers,162.0,0.051132815679138285,0.07608995038379099,1e-04,5
with regularizers,169.0,0.00020101217877186903,0.0004038049922028349,1e-04,5
with regularizers,171.0,0.2592401569703723,0.28581727196212525,1e-04,5
with regularizers,173.0,0.27199100152398026,0.11641610703347587,0.4016779,5
with regularizers,175.0,0.012062718733523586,0.007778241597133741,0.30985308,5
with regularizers,176.0,0.1647679800613661,0.21307846835678898,1e-04,5
with regularizers,177.0,-0.007772100376852042,0.010662728707668857,0.0035764314,5
with regularizers,179.0,2.5502359014382297e-06,1.5619989677040746e-05,0.00071528624,5
with regularizers,185.0,0.13044228554266257,0.11434709601169261,1e-04,5
with regularizers,187.0,-0.2213251740465545,0.3193512806041127,0.00013411617,5
with regularizers,188.0,0.10725653066027963,0.19603754157592176,1e-04,5
with regularizers,191.0,0.37890314465912933,0.3910898282571809,1e-04,5
with regularizers,196.0,0.28819243181439314,0.31532812621089146,1e-04,5
with regularizers,206.0,0.04632823044819544,0.0871281223993037,1e-04,5
with regularizers,213.0,0.15155863310010476,0.24098599744450633,1e-04,5
with regularizers,214.0,0.20933021156945486,0.26194853058743284,0.3816052,5
with regularizers,215.0,0.06959655146201597,0.12113164963514446,1e-04,5
with regularizers,216.0,0.06175627529929837,0.1071270463148748,1e-04,5
with regularizers,217.0,0.19946848643697387,0.28821890732804956,1e-04,5
