campaign,variant,repetition,metryka,wartość
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,3,predicted_positive_fraction_at_0.5,0.3193365510519239
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,3,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,4,predicted_positive_fraction_at_0.5,0.3437018638889378
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,4,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,predicted_positive_fraction_at_0.5,0.0054137528110999545
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,predicted_positive_fraction_at_0.5,0.0019195726932343749
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,predicted_positive_fraction_at_0.5,0.004539351484867523
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,predicted_positive_fraction_at_0.5,0.0034423129994656707
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,predicted_positive_fraction_at_0.5,0.005674556340412706
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,predicted_positive_fraction_at_0.5,0.35278301342086155
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,predicted_positive_fraction_at_0.5,0.34797698665742843
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,predicted_positive_fraction_at_0.5,0.3288996733350166
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,predicted_positive_fraction_at_0.5,0.34731152174210883
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,predicted_positive_fraction_at_0.5,0.3436245525237757
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,true_positive_fraction,0.05739341307168819
