campaign,variant,repetition,scope,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,average_precision,0.4482676780097925
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,roc_auc,0.6648272321841725
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,macro_f1,0.19161651497789478
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,macro_precision,0.2593157439019003
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,macro_recall,0.2720498767641222
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,micro_f1,0.3540159155223824
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,micro_precision,0.4885976408912189
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,micro_recall,0.2775626898564536
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,hamming_loss,0.27273018851282543
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),average_precision,0.3260187726378997
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),roc_auc,0.5463146715157235
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),macro_f1,0.04544048225893281
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),macro_precision,0.03887742555077857
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),macro_recall,0.08811755772428374
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),micro_f1,0.12433838421821067
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),micro_precision,0.07332044702442486
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),micro_recall,0.40876771190342215
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),hamming_loss,0.3304454113258214
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,average_precision,0.37170566781459974
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,roc_auc,0.6233842360852541
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,macro_f1,0.20295891834406274
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,macro_precision,0.2226193884096174
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,macro_recall,0.2663460088011699
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,micro_f1,0.3480336638148839
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,micro_precision,0.41939276865577624
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,micro_recall,0.29742688665197453
