campaign,variant,repetition,metryka,wartość
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,trace_within,2.094704897043378
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,effective_rank_total,2.242576090389767
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,effective_rank_between,1.1570807750233414
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,effective_rank_within,3.4732278508876244
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,between_share,0.6954329887046057
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,trace_total,5.539934603227085
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,trace_between,3.8526532783502754
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,trace_within,1.687281324876808
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,effective_rank_total,2.6023672110785023
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,effective_rank_between,1.1899629618654954
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,effective_rank_within,3.701701144567935
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,between_share,0.6651420353619858
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,trace_total,5.5634006433687135
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,trace_between,3.7004516274644472
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,trace_within,1.862949015904264
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,effective_rank_total,2.472674172967324
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,effective_rank_between,1.1863990830088507
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,effective_rank_within,3.48036474718203
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,between_share,0.666068493176827
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,trace_total,5.381533684801237
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,trace_between,3.5844700324158976
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,trace_within,1.797063652385342
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,effective_rank_total,2.3668330776983404
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,effective_rank_between,1.1972804846068938
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,effective_rank_within,3.2938006947626834
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,between_share,0.6928993273374155
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,trace_total,5.442720945334352
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,trace_between,3.771257681907435
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,trace_within,1.6714632634269175
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,effective_rank_single_dataset,1.5521702552196939
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,effective_rank_single_dataset,2.2705281289503274
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,effective_rank_single_dataset,1.7989881178166567
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,effective_rank_single_dataset,1.8770370092064586
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,effective_rank_single_dataset,1.5912845069292743
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,effective_rank_single_dataset,1.6035803332876726
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,effective_rank_single_dataset,1.7359483586901407
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,effective_rank_single_dataset,1.947004990507738
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,effective_rank_single_dataset,1.965554572561716
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_single_dataset,1.7928985301134768
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,effective_rank_single_dataset,1.761675743727395
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,effective_rank_single_dataset,1.6217627838530888
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,effective_rank_single_dataset,2.0283196339715794
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,effective_rank_single_dataset,2.0177632231634277
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,effective_rank_single_dataset,1.810447117296811
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,effective_rank_single_dataset,1.6475904014500915
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,effective_rank_single_dataset,1.750105517727589
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,effective_rank_single_dataset,1.5557680533383647
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,effective_rank_single_dataset,1.771768186245264
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,effective_rank_single_dataset,1.5152009996878237
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,effective_rank_single_dataset,1.5888639713909682
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,effective_rank_single_dataset,1.9771626234626962
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,effective_rank_single_dataset,1.7119450028156586
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,effective_rank_single_dataset,1.70143323599916
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,effective_rank_single_dataset,1.5576981659507425
