campaign,variant,repetition,scope,metryka,wartość
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),average_precision,0.34641570062916804
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),roc_auc,0.5578393989723577
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),macro_f1,0.045576870322463166
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),macro_precision,0.04177762355588796
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),macro_recall,0.09523469713074033
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),micro_f1,0.12219122206750901
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),micro_precision,0.07202858441831868
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),micro_recall,0.4025099323068529
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),hamming_loss,0.3319162845136528
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,average_precision,0.4787609991399801
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,roc_auc,0.6982938453622501
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,macro_f1,0.12502278359132082
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,macro_precision,0.18168891757509567
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,macro_recall,0.1875198913018096
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,micro_f1,0.22341674948053122
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,micro_precision,0.46232940736586275
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,micro_recall,0.14729882661266305
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,hamming_loss,0.27570501872298797
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,4,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),average_precision,0.35186733120794256
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),roc_auc,0.567717858381317
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),macro_f1,0.049926625257709537
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),macro_precision,0.046238701367727925
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),macro_recall,0.10241015412594993
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),micro_f1,0.1471274038769851
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),micro_precision,0.08659025580328027
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),micro_recall,0.48899346940167443
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),hamming_loss,0.32537613447088687
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,average_precision,0.49336537011821574
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,roc_auc,0.7148334001735415
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,macro_f1,0.23720909750169578
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,macro_precision,0.2376018714759821
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,macro_recall,0.3788441351648009
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,micro_f1,0.47541213281651334
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,micro_precision,0.4980268093017188
