variant,repetition,class_index,quintile,average_precision
0004,2,187.0,0,0.39803317667343363
0004,2,214.0,4,0.9522896468430896
0004,2,218.0,3,0.24206146165338074
0004,2,219.0,3,0.23464644430932846
0004,2,263.0,2,0.11678886368300927
0004,2,326.0,4,0.20606380032895236
0004,2,335.0,3,0.24170468733532324
0004,2,340.0,4,0.2493468500146529
0004,2,357.0,1,0.5687145689818042
0004,2,372.0,4,0.2973464515433805
0004,2,387.0,2,0.7058830147378397
0004,2,394.0,4,0.31737136834496626
0004,2,447.0,4,0.3227994179485813
0004,2,461.0,2,0.5658949142408498
0004,2,490.0,1,0.9346513912570106
0004,2,493.0,3,0.6850713076151782
0004,3,24.0,1,0.14801690423063454
0004,3,36.0,2,0.4879914408042452
0004,3,57.0,1,0.20930521201489827
0004,3,82.0,4,0.3556943829929965
0004,3,105.0,1,0.5979208539558174
0004,3,106.0,1,0.3078886356780407
0004,3,124.0,4,0.7684511244165064
0004,3,126.0,0,0.4177836347238654
0004,3,130.0,4,0.8067884877575572
0004,3,135.0,4,0.8856703109682087
0004,3,142.0,4,0.8931336550192762
0004,3,173.0,4,0.8881604920888739
0004,3,175.0,3,0.2658738295524065
0004,3,177.0,0,0.3255741946204005
0004,3,179.0,0,0.0004176594898038451
0004,3,187.0,0,0.47952253855278765
0004,3,214.0,4,0.9851137095801176
0004,3,218.0,3,0.26452704196641996
0004,3,219.0,3,0.2604646299463882
0004,3,263.0,2,0.11064476407418936
0004,3,326.0,4,0.36343604115082445
0004,3,335.0,3,0.26841198222410856
0004,3,340.0,4,0.32750687106512527
0004,3,357.0,1,0.5045773175272655
0004,3,372.0,4,0.3287604248398982
0004,3,387.0,2,0.6344977506262047
0004,3,394.0,4,0.3484014744379706
0004,3,447.0,4,0.3594943576717772
0004,3,461.0,2,0.5656453483871483
0004,3,490.0,1,0.9594980500306255
0004,3,493.0,3,0.6669738142481543
0004,4,24.0,1,0.18568067841964003
0004,4,36.0,2,0.6413707911545898
0004,4,57.0,1,0.15173794139393415
0004,4,82.0,4,0.3288168642113517
0004,4,105.0,1,0.5077284477930396
0004,4,106.0,1,0.37604228717221416
0004,4,124.0,4,0.3620757850169467
0004,4,126.0,0,0.34509624723371674
0004,4,130.0,4,0.7139943404981314
0004,4,135.0,4,0.6807672549389242
0004,4,142.0,4,0.9698252655637859
0004,4,173.0,4,0.4023583530138267
0004,4,175.0,3,0.24287183764532871
0004,4,177.0,0,0.2616264893277079
0004,4,179.0,0,0.00040077667884404054
0004,4,187.0,0,0.011050977452419005
0004,4,214.0,4,0.7831845715812157
0004,4,218.0,3,0.241227639963472
0004,4,219.0,3,0.23275591106038682
0004,4,263.0,2,0.10454765096748081
0004,4,326.0,4,0.30774415683908707
0004,4,335.0,3,0.2397520116982367
0004,4,340.0,4,0.2482714820452473
0004,4,357.0,1,0.5382869021296136
0004,4,372.0,4,0.2562124360875193
0004,4,387.0,2,0.6005558042253368
0004,4,394.0,4,0.28787196235221435
0004,4,447.0,4,0.2954630593826729
0004,4,461.0,2,0.6441539258786093
0004,4,490.0,1,0.9169158508772861
0004,4,493.0,3,0.6894672097276018
0005,0,24.0,1,0.18643632503922328
0005,0,36.0,2,0.5763407932429112
0005,0,57.0,1,0.1996407179527388
0005,0,82.0,4,0.3398602940823058
0005,0,105.0,1,0.4202072034164681
0005,0,106.0,1,0.29105066586533723
0005,0,124.0,4,0.3872208198393812
0005,0,126.0,0,0.34037141175130653
0005,0,130.0,4,0.8880387063894079
0005,0,135.0,4,0.9647605812956072
0005,0,142.0,4,0.9714640663847383
0005,0,173.0,4,0.6136463609035948
0005,0,175.0,3,0.2376817389905674
0005,0,177.0,0,0.25922499456798553
0005,0,179.0,0,0.0004147349992644735
0005,0,187.0,0,0.6877929115407148
0005,0,214.0,4,0.9341422932608866
0005,0,218.0,3,0.23794259211476057
0005,0,219.0,3,0.23077355030609462
0005,0,263.0,2,0.1150941324815671
0005,0,326.0,4,0.235370999152708
0005,0,335.0,3,0.23814799621870028
0005,0,340.0,4,0.38192544790343974
0005,0,357.0,1,0.48896187266571955
0005,0,372.0,4,0.275710002483754
0005,0,387.0,2,0.7260080944064204
0005,0,394.0,4,0.305628137236252
0005,0,447.0,4,0.34252516466812033
0005,0,461.0,2,0.5746489987360925
0005,0,490.0,1,0.7722610654148403
0005,0,493.0,3,0.6982327402041084
0005,1,24.0,1,0.13168825018920563
0005,1,36.0,2,0.5719973958219089
0005,1,57.0,1,0.1843632521584115
0005,1,82.0,4,0.34534285147136257
0005,1,105.0,1,0.4107941696352406
0005,1,106.0,1,0.358257288047071
0005,1,124.0,4,0.506797224787346
0005,1,126.0,0,0.49123491483428566
0005,1,130.0,4,0.7767538845838428
0005,1,135.0,4,0.83683825368098
0005,1,142.0,4,0.9755271815612828
0005,1,173.0,4,0.6787196482704501
0005,1,175.0,3,0.2538906390251878
0005,1,177.0,0,0.3730960639759974
0005,1,179.0,0,0.0004086573848926687
0005,1,187.0,0,0.3961114974501622
0005,1,214.0,4,0.8805157742181489
0005,1,218.0,3,0.2538232797639619
0005,1,219.0,3,0.24720403631704857
0005,1,263.0,2,0.10713121764456109
0005,1,326.0,4,0.25306955097888306
0005,1,335.0,3,0.2538779675667321
0005,1,340.0,4,0.24571918010726754
0005,1,357.0,1,0.47089434736083946
0005,1,372.0,4,0.2688265637204788
