campaign,variant,repetition,class_index,prior,estimator
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,232,0.037194885313510895,-0.015200186520814896
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,233,0.037016063928604126,-0.014695394784212112
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,237,0.0004470539279282093,6.615065649384633e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,243,0.04412422329187393,0.02816237509250641
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,250,0.0003576431190595031,9.474663238506764e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,251,0.21181413531303406,-0.17986571788787842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,255,0.03625607490539551,-0.014026019722223282
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,256,0.02583971619606018,0.0025637075304985046
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,261,0.17949214577674866,-0.21697279810905457
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,263,0.10277768969535828,0.05918542295694351
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,269,0.205510675907135,-0.1370413899421692
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,271,0.33050695061683655,-1.0938726663589478
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,273,0.3394927382469177,-1.054300308227539
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,291,0.05150061100721359,0.03713658079504967
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,292,0.12575626373291016,0.05059593915939331
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,295,0.09786010533571243,0.056636109948158264
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,298,0.32138705253601074,-1.0796879529953003
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,309,0.3636336326599121,-1.274198055267334
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,310,0.07385330647230148,-0.38518261909484863
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,316,0.36461716890335083,-1.2791098356246948
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,318,0.37101003527641296,-1.2018464803695679
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,319,0.3626501262187958,-1.2883343696594238
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,320,0.30667901039123535,-0.9451215267181396
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,323,0.3597889840602875,-1.2636981010437012
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,326,0.3728429675102234,-0.5531283617019653
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,327,0.016362173482775688,0.006115298252552748
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,328,0.037373706698417664,0.020233413204550743
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,330,0.0004470539279282093,9.114385466091335e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,331,0.128662109375,0.08894329518079758
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,332,0.006124638486653566,0.0016288295155391097
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,334,0.17908979952335358,-0.24448147416114807
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,335,0.3109707236289978,-1.0389405488967896
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,337,0.029013797640800476,0.017881443724036217
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,338,0.35518431663513184,-1.148431420326233
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,339,0.05981581658124924,0.04997503012418747
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,340,0.421705961227417,-0.8512238264083862
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,341,0.021235061809420586,-0.025434108451008797
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,342,0.3590736985206604,-1.261616826057434
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,343,0.2627335786819458,-0.7702879309654236
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,344,0.37928053736686707,-1.0234081745147705
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,347,0.34897029399871826,-0.6488180160522461
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,350,0.3014484643936157,-0.9524706602096558
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,353,0.004738771356642246,0.0007707526092417538
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,354,0.3365868926048279,-1.1234691143035889
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,356,0.22218579053878784,-0.5348042845726013
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,357,0.023067982867360115,0.013008222915232182
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,359,0.2884838879108429,-0.8983052968978882
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,360,0.0003576431190595031,9.165032679447904e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,361,0.3362739682197571,-1.122594952583313
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,362,0.07193097472190857,0.0463138185441494
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,366,0.28526511788368225,-0.8569045066833496
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,367,0.2549101412296295,-0.7139489650726318
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,368,0.3541114032268524,-1.2245292663574219
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,369,0.007108157034963369,0.002283488865941763
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,370,0.17712275683879852,-0.14898347854614258
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,371,0.34821030497550964,-1.2260632514953613
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,372,0.46162790060043335,-1.3006811141967773
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,373,0.005141119938343763,0.0009298900840803981
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,374,0.36059367656707764,-1.2970808744430542
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,376,0.27033349871635437,-0.7939022779464722
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,380,0.11846928298473358,0.033235982060432434
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,384,0.21574822068214417,-0.33775460720062256
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,387,0.20600244402885437,0.050266414880752563
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,394,0.4501385986804962,-1.2386467456817627
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,399,0.271093487739563,-0.8126589059829712
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,400,0.025347955524921417,0.015297792851924896
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,401,0.27972161769866943,-0.8831803202629089
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,402,0.14877954125404358,-0.13052856922149658
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,403,0.2817333936691284,-0.8416699171066284
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,404,0.29067444801330566,-0.9215488433837891
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,408,0.2569218873977661,-0.7055985927581787
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,409,0.07170744985342026,0.04454385116696358
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,410,0.31271421909332275,-1.0364465713500977
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,411,0.34803149104118347,-1.2370587587356567
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,412,0.0024140910245478153,0.00029649370117112994
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,413,0.36591362953186035,-1.2527849674224854
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,414,0.24261614680290222,-0.6149665117263794
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,417,0.34767383337020874,-1.2064473628997803
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,418,0.24199028313159943,-0.6315377354621887
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,419,0.3460644483566284,-1.2190887928009033
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,422,0.3503114581108093,-1.2125625610351562
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,426,0.31262481212615967,-1.012019157409668
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,429,0.0225762240588665,0.01406186819076538
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,431,0.2787381112575531,-0.8538674116134644
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,434,0.09048371016979218,-0.042233169078826904
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,435,0.28347688913345337,-0.8618492484092712
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,436,0.020251542329788208,0.00989395473152399
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,437,0.16889697313308716,-0.24878159165382385
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,438,0.2934461832046509,-0.9470887184143066
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,439,0.32107412815093994,-1.0385727882385254
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,440,0.32245999574661255,-0.9795688390731812
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,441,0.15284773707389832,0.037162840366363525
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,442,0.3579113483428955,-1.2607074975967407
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,443,0.36770182847976685,-1.3311994075775146
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,444,0.04300658777356148,0.031106969341635704
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,445,0.05579232797026634,0.03269636258482933
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,446,0.02749381586909294,0.014788519591093063
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,447,0.4626114070415497,-1.4051527976989746
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,449,0.2671594023704529,-0.763498842716217
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,450,0.11171877384185791,0.04800108075141907
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,451,0.0017435102490708232,0.00018420488049741834
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,452,0.02338092029094696,0.013043895363807678
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,453,0.0002682323392946273,8.73297976795584e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,457,0.3169165253639221,-1.0281821489334106
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,459,0.28960153460502625,-0.901820719242096
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,460,0.037194885313510895,0.022511549293994904
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,461,0.1670193374156952,-0.05661800503730774
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,463,0.21767055988311768,-0.47930771112442017
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,464,0.00415760139003396,0.0005933991633355618
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,465,0.031249068677425385,0.01100815087556839
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,466,0.015512770973145962,0.00677751237526536
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,467,0.009343426674604416,0.0026502320542931557
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,468,0.015736298635601997,0.0047956728376448154
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,469,0.048058293759822845,0.038314856588840485
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,470,0.07438977062702179,0.03608854487538338
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,471,0.23483741283416748,-0.6388731002807617
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,472,0.005364647135138512,0.0008172146626748145
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,473,0.22482341527938843,-0.4194285273551941
