variant,order,source_id,kind,sphere_a,sphere_b
m0-reconstruction,0,406,perturbed,0.9335225856739874,-0.35851859371105554
m0-reconstruction,0,539,perturbed,0.965980079570729,-0.2586164841469471
m0-reconstruction,0,436,perturbed,0.9966123226756314,-0.08224280084653642
m0-reconstruction,0,453,perturbed,0.8871808639394819,-0.4614218402498894
m0-reconstruction,0,406,perturbed,0.9270940896967501,-0.37482869267087116
m0-reconstruction,0,539,perturbed,0.967614557371048,-0.25243230451673765
m0-reconstruction,0,436,perturbed,0.9934176736232828,-0.11454835543518152
m0-reconstruction,0,453,perturbed,0.8840901997706575,-0.4673162940337936
m0-reconstruction,0,406,perturbed,0.9453503188562209,-0.3260563979412789
m0-reconstruction,0,539,perturbed,0.9723446626732198,-0.23355054478827988
m0-reconstruction,0,436,perturbed,0.9877390710260384,-0.15611382888334593
m0-reconstruction,0,453,perturbed,0.9039718855528505,-0.4275918967076251
m0-reconstruction,0,406,perturbed,0.9363790659977341,-0.35099037702081115
m0-reconstruction,0,539,perturbed,0.9720635680756188,-0.23471774457866776
m0-reconstruction,0,436,perturbed,0.9911947568266731,-0.13241206153259738
m0-reconstruction,0,453,perturbed,0.8877947142576122,-0.46023966075974443
m0-reconstruction,0,406,perturbed,0.9557821750159542,-0.29407555818491954
m0-reconstruction,0,539,perturbed,0.9681573925124257,-0.2503422923190186
m0-reconstruction,0,436,perturbed,0.9955871584054828,-0.093841408866747
m0-reconstruction,0,453,perturbed,0.8987475290611486,-0.4384665084205175
m0-reconstruction,0,406,perturbed,0.9290086377918528,-0.3700580372159559
m0-reconstruction,0,539,perturbed,0.9649495474554004,-0.26243546038143917
m0-reconstruction,0,436,perturbed,0.9895245335891127,-0.14436480674059335
m0-reconstruction,0,453,perturbed,0.8732861986056798,-0.48720756903484286
m0-reconstruction,0,406,perturbed,0.932368316266119,-0.36150978247217896
m0-reconstruction,0,539,perturbed,0.9688308490134725,-0.24772320440328943
m0-reconstruction,0,436,perturbed,0.9943085653294274,-0.10653861700123578
m0-reconstruction,0,453,perturbed,0.8985405370291989,-0.43889053682584545
m0-reconstruction,0,406,perturbed,0.953789757793544,-0.3004747875082578
m0-reconstruction,0,539,perturbed,0.9654955327696685,-0.26041961562411914
m0-reconstruction,0,436,perturbed,0.9966109210484855,-0.08225978389765871
m0-reconstruction,0,453,perturbed,0.8896357081783512,-0.45667089543127615
m0-reconstruction,0,406,perturbed,0.9290159051771882,-0.37003979235726736
m0-reconstruction,0,539,perturbed,0.9625406219564488,-0.2711375132357985
m0-reconstruction,0,436,perturbed,0.990304514082177,-0.13891353205668386
m0-reconstruction,0,453,perturbed,0.8991101855273445,-0.4377223712365913
m0-reconstruction,0,406,perturbed,0.9263515977317661,-0.37665994926432533
m0-reconstruction,0,539,perturbed,0.969729799877533,-0.24418049723407417
m0-reconstruction,0,436,perturbed,0.9793178574112517,-0.20232778888584613
m0-reconstruction,0,453,perturbed,0.881862403929328,-0.4715068403915118
m0-reconstruction,0,406,perturbed,0.9369723108664639,-0.3494036185696397
m0-reconstruction,0,539,perturbed,0.9747205024870745,-0.22342771097459013
m0-reconstruction,0,436,perturbed,0.9913677906560194,-0.13111027286144614
m0-reconstruction,0,453,perturbed,0.8771101879156769,-0.4802892027253226
m0-reconstruction,0,406,perturbed,0.9409561934931788,-0.3385283473017102
m0-reconstruction,0,539,perturbed,0.9666911182182678,-0.25594585747363646
m0-reconstruction,0,436,perturbed,0.9927732072369849,-0.12000566233470249
m0-reconstruction,0,453,perturbed,0.8898566848266841,-0.45624015657246086
m0-reconstruction,0,406,perturbed,0.9484019163171173,-0.31707066267004225
m0-reconstruction,0,539,perturbed,0.966507250367845,-0.2566393091215527
m0-reconstruction,0,436,perturbed,0.98942954997411,-0.14501436355764924
m0-reconstruction,0,453,perturbed,0.8912783062478183,-0.45345670224622325
m0-reconstruction,0,406,perturbed,0.9348831520181997,-0.35495561986326646
m0-reconstruction,0,539,perturbed,0.9717465163825438,-0.23602692197796132
m0-reconstruction,0,436,perturbed,0.9926894730645298,-0.12069635482012663
m0-reconstruction,0,453,perturbed,0.8941346478844959,-0.44779820394064623
m0-reconstruction,0,406,perturbed,0.9442509364948701,-0.3292266224480653
m0-reconstruction,0,539,perturbed,0.9736586785063612,-0.22801047732340382
m0-reconstruction,0,436,perturbed,0.9946426833769325,-0.1033727836750802
m0-reconstruction,0,453,perturbed,0.8966565384431358,-0.44272683684996267
m0-reconstruction,0,406,perturbed,0.9413849809616072,-0.33733413349365426
m0-reconstruction,0,539,perturbed,0.9681291898146814,-0.2504513362487181
m0-reconstruction,0,436,perturbed,0.9956577876196233,-0.0930890431382609
m0-reconstruction,0,453,perturbed,0.8858643834853979,-0.4639442790594964
m0-reconstruction,0,406,perturbed,0.9389198640591853,-0.34413585816517467
m0-reconstruction,0,539,perturbed,0.9636454916962732,-0.2671841431175279
m0-reconstruction,0,436,perturbed,0.992600036336643,-0.12142968279829741
m0-reconstruction,0,453,perturbed,0.9131798859071709,-0.40755673957691607
m0-reconstruction,0,406,perturbed,0.9244323489003532,-0.3813460794430379
m0-reconstruction,0,539,perturbed,0.9735859097598953,-0.22832099403470782
m0-reconstruction,0,436,perturbed,0.9895285801647264,-0.1443370674400045
m0-reconstruction,0,453,perturbed,0.8948772103773309,-0.44631242235376584
m0-reconstruction,0,406,perturbed,0.9376344279494015,-0.3476228984460004
m0-reconstruction,0,539,perturbed,0.9675816766950778,-0.25255830796855977
m0-reconstruction,0,436,perturbed,0.9905106051874565,-0.13743631620200952
m0-reconstruction,0,453,perturbed,0.8791707092993164,-0.47650694004404276
m0-reconstruction,0,406,perturbed,0.9444324301796442,-0.32870562031241823
m0-reconstruction,0,539,perturbed,0.9714932233276632,-0.2370673259401792
m0-reconstruction,0,436,perturbed,0.9905653434831243,-0.13704123572910484
m0-reconstruction,0,453,perturbed,0.8873478915617947,-0.4611005523102714
m0-reconstruction,0,406,perturbed,0.9345192874876161,-0.35591249108964695
m0-reconstruction,0,539,perturbed,0.9752285829031548,-0.22119948256879896
m0-reconstruction,0,436,perturbed,0.9910826518848896,-0.13324855396143956
m0-reconstruction,0,453,perturbed,0.895528836364397,-0.44500348677266455
m0-reconstruction,0,406,perturbed,0.9338027936903365,-0.3577881251468848
m0-reconstruction,0,539,perturbed,0.9758128626001585,-0.21860754146205527
